"ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0045840","positive regulation of mitotic nuclear division","1/9","44/18870",0.0207953872619507,0.0654871359943993,0.0331176750674055,"SH2B1",1
"GO:0023061","signal release","2/9","484/18870",0.0209745275426902,0.0654871359943993,0.0331176750674055,"MC4R/POMC",2
"GO:0048285","organelle fission","2/9","488/18870",0.0213018411994376,0.0657782129345272,0.0332648763669645,"SH2B1/UBR2",2
"GO:0032881","regulation of polysaccharide metabolic process","1/9","46/18870",0.0217314298553978,0.0663753455365954,0.0335668538956373,"POMC",1
"GO:0140353","lipid export from cell","1/9","47/18870",0.0221991528224235,0.0670748596032365,0.03392060702917,"POMC",1
"GO:0006111","regulation of gluconeogenesis","1/9","53/18870",0.0250013186664247,0.0720225451054425,0.0364227143256593,"LEPR",1
"GO:0019933","cAMP-mediated signaling","1/9","53/18870",0.0250013186664247,0.0720225451054425,0.0364227143256593,"POMC",1
"GO:0060390","regulation of SMAD protein signal transduction","1/9","53/18870",0.0250013186664247,0.0720225451054425,0.0364227143256593,"SH2B1",1
"GO:0010883","regulation of lipid storage","1/9","54/18870",0.0254676516701985,0.0720225451054425,0.0364227143256593,"FTO",1
"GO:0050873","brown fat cell differentiation","1/9","54/18870",0.0254676516701985,0.0720225451054425,0.0364227143256593,"FTO",1
"GO:0007140","male meiotic nuclear division","1/9","55/18870",0.0259337864031367,0.0720225451054425,0.0364227143256593,"UBR2",1
"GO:0070988","demethylation","1/9","55/18870",0.0259337864031367,0.0720225451054425,0.0364227143256593,"FTO",1
"GO:0045912","negative regulation of carbohydrate metabolic process","1/9","56/18870",0.0263997229390056,0.0720225451054425,0.0364227143256593,"LEPR",1
"GO:0060986","endocrine hormone secretion","1/9","56/18870",0.0263997229390056,0.0720225451054425,0.0364227143256593,"POMC",1
"GO:0070542","response to fatty acid","1/9","56/18870",0.0263997229390056,0.0720225451054425,0.0364227143256593,"PCSK1",1
"GO:0060612","adipose tissue development","1/9","57/18870",0.0268654613515465,0.0725884099979287,0.0367088793771132,"FTO",1
"GO:0014009","glial cell proliferation","1/9","59/18870",0.0277963441014958,0.0735322064142765,0.0371861691924605,"LEPR",1
"GO:0007131","reciprocal meiotic recombination","1/9","60/18870",0.02826148858627,0.0735322064142765,0.0371861691924605,"UBR2",1
"GO:0051785","positive regulation of nuclear division","1/9","60/18870",0.02826148858627,0.0735322064142765,0.0371861691924605,"SH2B1",1
"GO:0140527","reciprocal homologous recombination","1/9","60/18870",0.02826148858627,0.0735322064142765,0.0371861691924605,"UBR2",1
"GO:0006611","protein export from nucleus","1/9","61/18870",0.0287264352424489,0.0740562229644783,0.0374511710065727,"UHMK1",1
"GO:0033059","cellular pigmentation","1/9","63/18870",0.0296557353634942,0.0750744291634403,0.0379660907925246,"POMC",1
"GO:0040014","regulation of multicellular organism growth","1/9","63/18870",0.0296557353634942,0.0750744291634403,0.0379660907925246,"FTO",1
"GO:0045453","bone resorption","1/9","65/18870",0.0305842450533449,0.07673368624991,0.0388051981409921,"MC4R",1
"GO:0035825","homologous recombination","1/9","68/18870",0.0319755288165171,0.0795143681189496,0.0402114242219824,"UBR2",1
"GO:0030032","lamellipodium assembly","1/9","72/18870",0.0338278128128987,0.0833825912317942,0.0421676337002893,"SH2B1",1
"GO:0007585","respiratory gaseous exchange by respiratory system","1/9","74/18870",0.0347527728376308,0.0841855962704677,0.0425737235306729,"FTO",1
"GO:0032007","negative regulation of TOR signaling","1/9","74/18870",0.0347527728376308,0.0841855962704677,0.0425737235306729,"UBR2",1
"GO:0032720","negative regulation of tumor necrosis factor production","1/9","78/18870",0.0366003318734226,0.0875155141270366,0.0442577052150213,"POMC",1
"GO:0021536","diencephalon development","1/9","79/18870",0.0370617301819123,0.0875155141270366,0.0442577052150213,"PCSK1",1
"GO:0031016","pancreas development","1/9","79/18870",0.0370617301819123,0.0875155141270366,0.0442577052150213,"PCSK1",1
"GO:1903556","negative regulation of tumor necrosis factor superfamily cytokine production","1/9","80/18870",0.037522932056659,0.0878661992326765,0.0444350511197278,"POMC",1
"GO:0006446","regulation of translational initiation","1/9","83/18870",0.0389053598101142,0.0892079294152121,0.0451135810865467,"UHMK1",1
"GO:0019935","cyclic-nucleotide-mediated signaling","1/9","83/18870",0.0389053598101142,0.0892079294152121,0.0451135810865467,"POMC",1
"GO:0048678","response to axon injury","1/9","84/18870",0.0393657766814459,0.0892079294152121,0.0451135810865467,"PCSK1",1
"GO:0060395","SMAD protein signal transduction","1/9","84/18870",0.0393657766814459,0.0892079294152121,0.0451135810865467,"SH2B1",1
"GO:0071230","cellular response to amino acid stimulus","1/9","85/18870",0.0398259974846964,0.0895288423455975,0.0452758708247075,"UBR2",1
"GO:0010232","vascular transport","1/9","87/18870",0.0407458511791808,0.0901542061523607,0.0455921252315741,"LEPR",1
"GO:0150104","transport across blood-brain barrier","1/9","87/18870",0.0407458511791808,0.0901542061523607,0.0455921252315741,"LEPR",1
"GO:0006094","gluconeogenesis","1/9","90/18870",0.0421241630361002,0.0913426085418666,0.0461931153892189,"LEPR",1
"GO:0010507","negative regulation of autophagy","1/9","90/18870",0.0421241630361002,0.0913426085418666,0.0461931153892189,"LEPR",1
"GO:0031507","heterochromatin formation","1/9","91/18870",0.0425832089643577,0.0913426085418666,0.0461931153892189,"UBR2",1
"GO:0097581","lamellipodium organization","1/9","91/18870",0.0425832089643577,0.0913426085418666,0.0461931153892189,"SH2B1",1
"GO:0050886","endocrine process","1/9","92/18870",0.0430420593354806,0.0915002059934007,0.0462728144188391,"POMC",1
"GO:0019319","hexose biosynthetic process","1/9","93/18870",0.0435007142223688,0.0915002059934007,0.0462728144188391,"LEPR",1
"GO:0019915","lipid storage","1/9","94/18870",0.0439591736978971,0.0915002059934007,0.0462728144188391,"FTO",1
"GO:0071229","cellular response to acid chemical","1/9","94/18870",0.0439591736978971,0.0915002059934007,0.0462728144188391,"UBR2",1
"GO:0001657","ureteric bud development","1/9","98/18870",0.0457910589431189,0.0938160015398041,0.0474439415915848,"SIM1",1
"GO:0072163","mesonephric epithelium development","1/9","99/18870",0.0462485424541739,0.0938160015398041,0.0474439415915848,"SIM1",1
"GO:0072164","mesonephric tubule development","1/9","99/18870",0.0462485424541739,0.0938160015398041,0.0474439415915848,"SIM1",1
"GO:0070828","heterochromatin organization","1/9","100/18870",0.046705830990635,0.0938160015398041,0.0474439415915848,"UBR2",1
"GO:0120162","positive regulation of cold-induced thermogenesis","1/9","101/18870",0.0471629246252154,0.0938160015398041,0.0474439415915848,"LEPR",1
"GO:0046364","monosaccharide biosynthetic process","1/9","102/18870",0.0476198234306063,0.0938160015398041,0.0474439415915848,"LEPR",1
"GO:0001823","mesonephros development","1/9","103/18870",0.0480765274794726,0.0938160015398041,0.0474439415915848,"SIM1",1
"GO:0006304","DNA modification","1/9","103/18870",0.0480765274794726,0.0938160015398041,0.0474439415915848,"FTO",1
"GO:0010906","regulation of glucose metabolic process","1/9","103/18870",0.0480765274794726,0.0938160015398041,0.0474439415915848,"LEPR",1
"GO:0090100","positive regulation of transmembrane receptor protein serine/threonine kinase signaling pathway","1/9","104/18870",0.0485330368444579,0.0940536782985701,0.0475641377422999,"SH2B1",1
"GO:0043255","regulation of carbohydrate biosynthetic process","1/9","105/18870",0.0489893515981832,0.0942877246512978,0.0476824979506469,"LEPR",1
"GO:0046822","regulation of nucleocytoplasmic transport","1/9","109/18870",0.050812665952062,0.0971316947791118,0.0491207297066121,"UHMK1",1
"GO:0007218","neuropeptide signaling pathway","1/9","110/18870",0.0512680087379709,0.0973399355092555,0.0492260396843959,"POMC",1
